Measurement outcome,Frequency
0,602
1,602
100,653
101,658
10000,552
10001,651
10100,638
10101,616
11000,1
11001,1
1000000,569
1000001,620
1000100,610
1000101,606
1001001,2
1010000,634
1010001,606
1010100,668
1010101,628
10100001,1
100000000,636
100000001,616
100000100,630
100000101,670
100001000,1
100001001,1
100010000,641
100010001,623
100010100,650
100010101,657
101000000,664
101000001,653
101000100,609
101000101,607
101001000,1
101001001,1
101010000,586
101010001,599
101010100,622
101010101,610
101011000,1
101111000,1
101111001,1
1000010000,1
1001000100,1
